X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.78229731,43.43994041,3195 Regional Rd 25,Encounter,1/31/2015,,Complete
-79.74921167,43.44695574,Pinecliff Rd and Taplow Creek Trail,Encounter,1/31/2015,,Complete
-79.67427571,43.43618858,Brookfield Cr,Encounter,2/3/2015,,Complete
-79.65882952,43.46284503,Colbourne Park behind Botany Hill,Encounter,1/27/2015,,Complete
-79.71456999,43.39828522,225 Jones St,Encounter,9/14/2014,,Complete
-79.7153124,43.39871109,Jones St,Encounter,9/13/2014,,Complete
-79.73786472,43.45859837,Sixteen Mile Creek near Neyagawa,Encounter,9/19/2014,,Complete
-79.73388794,43.45859251,16 Mile Creek near Neyagawa,Encounter,9/17/2014,,Complete
-79.70613644,43.40575367,Hixon St and Sable St,Encounter,9/2/2014,,Complete
-79.71983203,43.38685395,145 Speyside drive,Encounter,9/28/2014,,Complete
-79.72535521,43.37733678,Wilmot Park,Encounter,9/29/2014,,Complete
-79.72638458,43.37664817,Wilmot Crs,Encounter,9/29/2014,,Complete
-79.72442992,43.37618967,Wilmot Crs and Stevenson Rd,Encounter,9/30/2014,,Complete
-79.70312841,43.40966745,Tracina north of Hixon,Encounter,10/1/2014,,Complete
-79.70087232,43.40441094,Thornlea Park,Encounter,10/2/2014,,Complete
-79.70177303,43.40446406,Thornlea Park,Encounter,10/2/2014,,Complete
-79.72513589,43.37811743,Sheldon Creek Path,Encounter,9/25/2014,,Complete
-79.72155728,43.38134215,Shell Park,Encounter,9/30/2014,,Complete
-79.70156451,43.40504776,Thornlea Park,Encounter,10/1/2014,,Complete
-79.70206246,43.40468176,Thornlea Park,Encounter,10/2/2014,,Complete
-79.71100571,43.40115264,Hixon st,Encounter,10/2/2014,,Complete
-79.70090419,43.40475437,Thornlea park,Encounter,10/2/2014,,Complete
-79.70923728,43.4077514,Rebecca and Sable,Encounter,10/3/2014,,Complete
-79.7137057,43.41296541,Seaton Drive and Saville Cr,Encounter,10/3/2014,,Complete
-79.74700871,43.44314743,West oak blvd at nightingale way,Encounter,10/4/2014,,Complete
-79.76692298,43.42670552,Richview and Valley Ridge,Encounter,10/9/2014,,Complete
-79.71855565,43.43940809,Pilgrim's way near taplow creek,Encounter,10/9/2014,,Complete
-79.74290292,43.43734022,third line and UPM,Encounter,10/17/2014,,Complete
-79.70858732,43.44258394,430 Parkridge,Encounter,10/20/2014,,Complete
-79.74090655,43.43150631,Heritage Glen Public School,Encounter,10/20/2014,,Complete
-79.72135017,43.44400591,Monk's Pass,Encounter,10/18/2014,,Complete
-79.70560368,43.40417628,Solingate,Encounter,10/24/2014,,Complete
-79.72260696,43.45959188,Rotherglen School,Encounter,10/24/2014,,Complete
-79.74586279,43.44970681,Proudfoot Trail near St Volodymyrs,Encounter,10/27/2014,,Complete
